Emisor;ISIN;Fecha inicio;Fecha Vto.;Cup¢n;Saldo (Mill?);Tipolog¡a;A¤o Emisi¢n;Tipo Emisor
Iberdrola ;XS1057055060;24/04/2014;24/10/2022;2,50;750;Verde;2014;Empresas
Abengoa Greenfield SA;XS1113024563;30/09/2014;31/03/2027;0,00;265;Verde;2014;Empresas
Abengoa Greenfield SA;USE00020AA01;30/09/2014;31/03/2027;0,00;267;Verde;2014;Empresas
Kutxabank;ES0443307063;22/09/2015;22/09/2025;1,25;1000;Social;2015;Bancos
Iberdrola ;XS1398476793;21/04/2016;21/04/2026;1,13;1000;Verde;2016;Empresas
Com. Madrid;ES0000101750;18/08/2016;18/08/2031;1,79;48;Social;2016;CCAA
Iberdrola ;XS1490726590;15/09/2016;15/09/2025;0,38;700;Verde;2016;Empresas
Acciona;XS1525867104;25/11/2016;25/11/2031;4,25;22;Verde;2016;Empresas
Caja Rural de Navarra SCC;ES0415306051;01/12/2016;01/12/2023;0,63;500;Sostenible;2016;Bancos
Iberdrola ;XS1527758145;07/12/2016;07/03/2024;1,00;750;Verde;2016;Empresas
Ayuntamiento Barcelona;ES0200750034;20/02/2017;20/12/2027;1,92;35;Sostenible;2017;CCAA
Iberdrola ;XS1564443759;20/02/2017;20/02/2024;0,35;250;Verde;2017;Empresas
Iberdrola ;XS1575444622;07/03/2017;07/03/2025;1,00;1000;Verde;2017;Empresas
Com. Madrid;ES0000101842;18/04/2017;30/04/2022;0,75;700;Sostenible;2017;CCAA
Repsol;XS1613140489;23/05/2017;23/05/2022;0,32;500;Verde;2017;Empresas
Caja Rural de Navarra;ES0315306011;21/06/2017;21/06/2022;0,33;100;Sostenible;2017;Bancos
ADIF;ES0200002022;05/07/2017;05/07/2023;0,80;600;Verde;2017;Agencias
ICO;XS1644451434;13/07/2017;30/07/2021;0,10;500;Social;2017;Agencias
Iberdrola ;XS1682538183;13/09/2017;13/09/2027;1,25;750;Verde;2017;Empresas
Acciona;XS1684805556;20/09/2017;20/12/2030;4,25;65;Verde;2017;Empresas
ICO;XS1688140034;22/09/2017;22/09/2022;0,96;52;Social;2017;Agencias
Naturgy Finance BV;XS1718393439;15/11/2017;15/05/2025;0,88;800;Verde;2017;Empresas
Iberdrola ;XS1721244371;22/11/2017;;1,88;1000;Verde;2017;Empresas
Com. Madrid;ES0000101875;23/02/2018;30/04/2028;1,77;1000;Sostenible;2018;CCAA
Iberdrola ;XS1797138960;26/03/2018;;2,63;700;Verde;2018;Empresas
ACS;XS1799545329;20/04/2018;20/04/2026;1,88;750;Verde;2018;Empresas
ADIF;ES0200002030;04/05/2018;04/05/2026;1,25;600;Verde;2018;Agencias
Caja Rural de Navarra;ES0415306069;08/05/2018;08/05/2025;0,88;500;Sostenible;2018;Bancos
BBVA;XS1820037270;14/05/2018;14/05/2025;1,38;1000;Verde;2018;Bancos
BBVA;XS1820037270;14/05/2018;14/05/2025;1,38;1000;Verde;2018;Bancos
Pa¡s Vasco;ES0000106619;15/06/2018;30/04/2028;1,45;500;Sostenible;2018;CCAA
Iberdrola ;XS1847692636;28/06/2018;28/10/2026;1,25;750;Verde;2018;Empresas
Com. Madrid;ES0000101891;22/10/2018;22/10/2058;3,29;188;Sostenible;2018;CCAA
ICO;XS1915152000;26/11/2018;31/10/2023;0,75;500;Social;2018;Agencias
Iberdrola ;XS1924319301;21/12/2018;08/12/2025;3,72;44;Verde;2018;Empresas
Telef¢nica;XS1946004451;05/02/2019;05/02/2024;1,07;1000;Verde;2019;Empresas
Iberdrola;XS1890845875;12/02/2019;;3,25;800;Verde;2019;Empresas
Com. Madrid;ES0000101909;14/02/2019;30/04/2029;1,57;1250;Sostenible;2019;CCAA
ICO;XS1979491559;09/04/2019;31/01/2024;0,20;500;Verde;2019;Agencias
ADIF;ES0200002048;25/04/2019;30/04/2027;0,95;600;Verde;2019;Agencias
Pa¡s Vasco;ES0000106635;25/04/2019;30/04/2029;1,13;600;Sostenible;2019;CCAA
